# X Normalized_Averaged_Y Std_Dev_Y
101.954221722 -0.000250479 1.405917824
101.976428787 -0.000044916 3.197258773
101.998635852 0.000377576 3.664517914
102.020842917 -0.000060549 2.234406653
102.043049982 -0.000250908 1.815558493
102.065257047 -0.000150195 2.050825080
102.087464112 0.000150510 1.362041926
102.109671177 0.000126370 0.854903341
102.131878242 -0.000211430 1.257905228
102.154085307 -0.000312018 2.508605851
102.176292372 -0.000125281 2.976923702
102.198499437 0.000279300 3.246132446
102.220706502 -0.000223833 1.945654892
102.242913567 -0.000338311 0.966950317
102.265120632 -0.000151046 3.819401025
102.287327697 -0.000171167 1.082187365
102.309534762 -0.000110376 2.424301812
102.331741827 -0.000003450 1.586904615
102.353948892 -0.000043702 1.244658506
102.376155957 -0.000180081 1.143328844
102.398363022 -0.000346334 1.636260220
102.420570087 -0.000225606 1.943197903
102.442777152 -0.000129843 0.748155251
102.464984217 -0.000081090 3.888582994
102.487191282 -0.000242081 3.729422204
102.509398347 -0.000118415 5.567029033
102.531605412 0.000070083 4.940382530
102.553812477 -0.000251859 2.785182970
102.576019542 -0.000252277 2.946784866
102.598226607 -0.000155536 2.650568271
102.620433672 -0.000356717 3.991323204
102.642640737 -0.000114395 0.158653689
102.664847802 0.000146856 3.945800606
102.687054867 -0.000315853 2.679402284
102.709261932 -0.000277407 1.336385078
102.731468997 -0.000094373 4.647115289
102.753676062 -0.000114489 2.225909645
102.775883127 -0.000178976 2.387781477
102.798090192 -0.000150341 6.057223982
102.820297257 0.000211915 1.392211022
102.842504322 0.000116460 1.006064705
102.864711387 -0.000103365 0.522254205
102.886918452 -0.000264329 1.643539136
102.909125518 -0.000252389 1.207408298
102.931332583 -0.000197918 0.482088894
102.953539648 -0.000157645 2.648037427
102.975746713 -0.000101205 2.693838228
102.997953778 -0.000206293 2.229508575
103.020160843 -0.000669247 1.391368665
103.042367908 -0.000399044 1.966018358
103.064574973 -0.000092575 2.706214383
103.086782038 -0.000011978 1.579916609
103.108989103 0.000188401 2.610094885
103.131196168 0.000212714 3.272855622
103.153403233 -0.000109305 2.513800386
103.175610298 -0.000008990 2.370126678
103.197817363 -0.000003455 1.569797684
103.220024428 -0.000244878 2.085261835
103.242231493 -0.000125012 2.041127655
103.264438558 -0.000062977 2.231599623
103.286645623 -0.000143400 2.430903158
103.308852688 0.000072797 2.086838783
103.331059753 0.000227125 0.327225103
103.353266818 0.000267264 6.124222036
103.375473883 -0.000110769 2.003187248
103.397680948 -0.000301939 3.342983822
103.419888013 -0.000241552 5.309881013
103.442095078 -0.000239635 2.157175852
103.464302143 -0.000191307 2.581657402
103.486509208 -0.000090687 3.547261962
103.508716273 -0.000429360 2.832224438
103.530923338 -0.000477361 0.691926809
103.553130403 -0.000241222 2.827914401
103.575337468 -0.000341847 0.667893328
103.597544533 -0.000410662 2.820899824
103.619751598 -0.000434258 5.578213224
103.641958663 -0.000051884 2.509198866
103.664165728 0.000164156 1.224760407
103.686372793 0.000220565 1.766401720
103.708579858 -0.000081308 2.838826689
103.730786923 -0.000209673 2.485478758
103.752993988 -0.000197434 1.252718485
103.775201053 -0.000056537 1.355155831
103.797408118 -0.000108470 1.886779832
103.819615183 -0.000251772 2.847028061
103.841822248 -0.000090756 2.482353915
103.864029313 -0.000167816 3.014929632
103.886236378 -0.000359438 3.246410072
103.908443443 -0.000359455 1.105610376
103.930650508 -0.000268365 0.321413442
103.952857573 -0.000105183 1.108086039
103.975064638 0.000176610 2.817096978
